customer_id,customer_name,email,c@example.com,Miami
CUST045,Customer_45,customer45@example.com,Los Angeles
CUST046,Customer_46,customer46@example.com,New York
CUST047,Customer_47,customer47@example.com,Los Angeles
CUST048,Customer_48,customer48@example.com,Los Angeles
CUST049,Customer_49,customerity
CUST001,Customer_1,customer1@example.com,New York
CUST002,Customer_2,customer2@example.com,New York
CUST003,Customer_3,customer3@example.com,Houston
CUST004,Customer_4,customer4@example.com,Miami
CUST005,Customer_5,customer5@example.com,New York
CUST006,Customer_6,customer6@example.com,Chicago
CUST007,Customer_7,customer7@example.com,Miami
CUST008,Customer_8,customer8@example.com,Los Angeles
CUST009,Customer_9,customer9@example.com,Los Angeles
CUST010,Customer_10,customer10@example.com,Chicago
CUST011,Customer_11,customer11@example.com,Miami
CUST012,Customer_12,customer12@example.com,Los Angeles
CUST013,Customer_13,customer13@example.com,Houston
CUST014,Customer_14,customer14@example.com,New York
CUST015,Customer_15,customer15@example.com,Miami
CUST016,Customer_16,customer16@example.com,Chicago
CUST017,Customer_17,customer17@example.com,Chicago
CUST018,Customer_18,customer18@example.com,Miami
CUST019,Customer_19,customer19@example.com,New York
CUST020,Customer_20,customer20@example.com,New York
CUST021,Customer_21,customer21@example.com,Miami
CUST022,Customer_22,customer22@example.com,Chicago
CUST023,Customer_23,customer23@example.com,New York
CUST024,Customer_24,customer24@example.com,Miami
CUST025,Customer_25,customer25@example.com,Los Angeles
CUST026,Customer_26,customer26@example.com,Los Angeles
CUST027,Customer_27,customer27@example.com,Los Angeles
CUST028,Customer_28,customer28@example.com,New York
CUST029,Customer_29,customer29@example.com,Los Angeles
CUST030,Customer_30,customer30@example.com,Los Angeles
CUST031,Customer_31,customer31@example.com,Los Angeles
CUST032,Customer_32,customer32@example.com,Houston
CUST033,Customer_33,customer33@example.com,Houston
CUST034,Customer_34,customer34@example.com,New York
CUST035,Customer_35,customer35@example.com,Chicago
CUST036,Customer_36,customer36@example.com,Chicago
CUST037,Customer_37,customer37@example.com,Houston
CUST038,Customer_38,customer38@example.com,New York
CUST039,Customer_39,customer39@example.com,New York
CUST040,Customer_40,customer40@example.com,Chicago
CUST041,Customer_41,customer41@example.com,Houston
CUST042,Customer_42,customer42@example.com,Miami
CUST043,Customer_43,customer43@example.com,Miami
CUST044,Customer_44,customer4449@example.com,New York
CUST050,Customer_50,customer50@example.com,Chicago
CUST051,Customer_51,customer51@example.com,Miami
CUST052,Customer_52,customer52@example.com,New York
CUST053,Customer_53,customer53@example.com,Chicago
CUST054,Customer_54,customer54@example.com,Houston
CUST055,Customer_55,customer55@example.com,Miami
CUST056,Customer_56,customer56@example.com,Miami
CUST057,Customer_57,customer57@example.com,Houston
CUST058,Customer_58,customer58@example.com,Los Angeles
CUST059,Customer_59,customer59@example.com,Los Angeles
CUST060,Customer_60,customer60@example.com,Los Angeles
CUST061,Customer_61,customer61@example.com,New York
CUST062,Customer_62,customer62@example.com,Miami
CUST063,Customer_63,customer63@example.com,Chicago
CUST064,Customer_64,customer64@example.com,Chicago
CUST065,Customer_65,customer65@example.com,New York
CUST066,Customer_66,customer66@example.com,Miami
CUST067,Customer_67,customer67@example.com,Houston
CUST068,Customer_68,customer68@example.com,Los Angeles
CUST069,Customer_69,customer69@example.com,Miami
CUST070,Customer_70,customer70@example.com,Chicago
CUST071,Customer_71,customer71@example.com,New York
CUST072,Customer_72,customer72@example.com,Los Angeles
CUST073,Customer_73,customer73@example.com,Houston
CUST074,Customer_74,customer74@example.com,Miami
CUST075,Customer_75,customer75@example.com,Chicago
CUST076,Customer_76,customer76@example.com,New York
CUST077,Customer_77,customer77@example.com,Miami
CUST078,Customer_78,customer78@example.com,Chicago
CUST079,Customer_79,customer79@example.com,Los Angeles
CUST080,Customer_80,customer80@example.com,Chicago
CUST081,Customer_81,customer81@example.com,Chicago
CUST082,Customer_82,customer82@example.com,Chicago
CUST083,Customer_83,customer83@example.com,New York
CUST084,Customer_84,customer84@example.com,Miami
CUST085,Customer_85,customer85@example.com,Miami
CUST086,Customer_86,customer86@example.com,Los Angeles
CUST087,Customer_87,customer87@example.com,Los Angeles
CUST088,Customer_88,customer88@example.com,Los Angeles
CUST089,Customer_89,customer89@example.com,New York
CUST090,Customer_90,customer90@example.com,Miami
CUST091,Customer_91,customer91@example.com,Los Angeles
CUST092,Customer_92,customer92@example.com,Los Angeles
CUST093,Customer_93,customer93@example.com,Houston
CUST094,Customer_94,customer94@example.com,New York
CUST095,Customer_95,customer95@example.com,Los Angeles
CUST096,Customer_96,customer96@example.com,New York
CUST097,Customer_97,customer97@example.com,Miami
CUST098,Customer_98,customer98@example.com,Houston
CUST099,Customer_99,customer99@example.com,Chicago
CUST100,Customer_100,customer100@example.com,Los Angeles
